id,user,likes,dislikes,followers
5,htacker4,1698,1988,17763
7,epetr6,369,2255,18076
8,pcucinotta7,955,1264,12801
10,mduerden9,495,2152,11813
13,hfenlonc,1514,1737,12264
15,dlabese,2751,2993,18768
20,dgannanj,1077,2149,15087
21,emulqueenk,765,3068,17349
22,amcgeel,2569,3465,10034
24,asummersiden,541,3297,17471
25,hdaykino,491,1129,17390
26,pmingop,1462,1665,18021
27,jlysterq,838,2211,13435
29,gmerrgans,1611,3449,17860
31,mmaxweellu,524,3007,12613
33,scroalw,839,2427,18505
34,nlearnedx,1583,2292,11350
37,loates10,1780,2621,14191
40,rworsley13,1660,1962,18493
41,hdominetti14,1776,1890,16150
42,kitzakovitz15,2668,3108,11793
43,tpfeffer16,1404,3304,13536
47,srowett1a,2867,3119,15270
51,jnorsworthy1e,955,1905,16656
52,scawse1f,764,3024,14261
56,mtithecott1j,1351,2474,16351
57,mchastaing1k,1171,2904,14933
60,cburder1n,2397,3117,19323
61,szupo1o,2318,2325,13386
62,akemson1p,2248,3322,16817
63,cgossling1q,2413,3226,19222
64,snoller1r,877,2875,17960
67,chintzer1u,1766,2623,18861
68,svasin1v,2778,2925,15498
69,gletts1w,1269,3228,18280
72,mlorden1z,542,2726,10929
74,bmarcus21,2074,3103,17908
76,mgerriet23,745,3214,13514
77,mlovatt24,1129,1268,10731
80,mvossgen27,1591,2998,18805
81,lnorcliff28,1065,1564,13821
83,wjeavon2a,786,1060,16452
85,fstollhofer2c,1808,2520,19973
86,choggin2d,1366,1876,16226
88,lholbarrow2f,1086,3029,18701
89,cgrimsdell2g,415,2044,11551
90,malexis2h,1414,1767,13142
91,wcluff2i,1463,2678,16979
93,dgoracci2k,2593,2599,12877
94,eearey2l,337,1297,14054
96,lkabsch2n,848,1067,13032
97,gmacsharry2o,2066,3186,17121
99,apetrecz2q,781,1615,19038
100,bgreser2r,866,2149,14128
