id,user,likes,dislikes,followers
2,skilmurray1,2370,1728,15608
3,vhowgego2,2578,307,10611
4,mmcsporrin3,2997,1464,17548
6,bhutchence5,2600,1924,17638
11,bdurstona,2592,1669,14776
12,acalcottb,2962,2278,15749
14,phigbind,2954,377,15655
15,dlabese,2751,2993,18768
16,gpettettf,2706,1635,13661
19,dmayoi,2450,2196,12567
22,amcgeel,2569,3465,10034
23,zfurseym,2728,1779,14938
36,flagez,2534,1866,12885
38,ayea11,2190,1100,14676
39,jdeackes12,2005,875,16501
42,kitzakovitz15,2668,3108,11793
47,srowett1a,2867,3119,15270
49,mboycott1c,2854,1266,19419
53,jsaing1g,2550,688,11065
55,ctabour1i,2748,2152,11414
58,kmeineken1l,2706,324,15463
60,cburder1n,2397,3117,19323
61,szupo1o,2318,2325,13386
62,akemson1p,2248,3322,16817
63,cgossling1q,2413,3226,19222
68,svasin1v,2778,2925,15498
71,tmckeaney1y,2162,1429,18595
73,cdmitrievski20,2872,2007,11781
74,bmarcus21,2074,3103,17908
75,agehringer22,2070,1050,14393
78,pboyack25,2474,1053,18285
79,kklemencic26,2371,1199,18153
82,rphilp29,2836,2266,19074
87,dkeilty2e,2642,307,12890
93,dgoracci2k,2593,2599,12877
97,gmacsharry2o,2066,3186,17121
98,cdarkott2p,2737,846,14158
