id,user,likes,dislikes,followers
1,lmalletratt0,0,0,0
2,skilmurray1,0,0,0
3,vhowgego2,0,0,0
4,mmcsporrin3,0,0,0
5,htacker4,0,0,0
6,bhutchence5,0,0,0
7,epetr6,0,0,0
8,pcucinotta7,0,0,0
9,mlumly8,0,0,0
10,mduerden9,0,0,0
11,bdurstona,0,0,0
12,acalcottb,0,0,0
13,hfenlonc,0,0,0
14,phigbind,0,0,0
15,dlabese,0,0,0
16,gpettettf,0,0,0
17,dgifkinsg,0,0,0
18,rrosewarneh,0,0,0
19,dmayoi,0,0,0
20,dgannanj,0,0,0
21,emulqueenk,0,0,0
22,amcgeel,0,0,0
23,zfurseym,0,0,0
24,asummersiden,0,0,0
25,hdaykino,0,0,0
26,pmingop,0,0,0
27,jlysterq,0,0,0
28,rkinghornr,0,0,0
29,gmerrgans,0,0,0
30,kdalgarnot,0,0,0
31,mmaxweellu,0,0,0
32,nthurlbeckv,0,0,0
33,scroalw,0,0,0
34,nlearnedx,0,0,0
35,cmarshamy,0,0,0
36,flagez,0,0,0
37,loates10,0,0,0
38,ayea11,0,0,0
39,jdeackes12,0,0,0
40,rworsley13,0,0,0
41,hdominetti14,0,0,0
42,kitzakovitz15,0,0,0
43,tpfeffer16,0,0,0
44,ojanu17,0,0,0
45,jdressell18,0,0,0
46,aferneyhough19,0,0,0
47,srowett1a,0,0,0
48,ahodgins1b,0,0,0
49,mboycott1c,0,0,0
50,lbarribal1d,0,0,0
51,jnorsworthy1e,0,0,0
52,scawse1f,0,0,0
53,jsaing1g,0,0,0
54,hnairns1h,0,0,0
55,ctabour1i,0,0,0
56,mtithecott1j,0,0,0
57,mchastaing1k,0,0,0
58,kmeineken1l,0,0,0
59,nkubicek1m,0,0,0
60,cburder1n,0,0,0
61,szupo1o,0,0,0
62,akemson1p,0,0,0
63,cgossling1q,0,0,0
64,snoller1r,0,0,0
65,cfriday1s,0,0,0
66,eantusch1t,0,0,0
67,chintzer1u,0,0,0
68,svasin1v,0,0,0
69,gletts1w,0,0,0
70,jjosefsen1x,0,0,0
71,tmckeaney1y,0,0,0
72,mlorden1z,0,0,0
73,cdmitrievski20,0,0,0
74,bmarcus21,0,0,0
75,agehringer22,0,0,0
76,mgerriet23,0,0,0
77,mlovatt24,0,0,0
78,pboyack25,0,0,0
79,kklemencic26,0,0,0
80,mvossgen27,0,0,0
81,lnorcliff28,0,0,0
82,rphilp29,0,0,0
83,wjeavon2a,0,0,0
84,skingston2b,0,0,0
85,fstollhofer2c,0,0,0
86,choggin2d,0,0,0
87,dkeilty2e,0,0,0
88,lholbarrow2f,0,0,0
89,cgrimsdell2g,0,0,0
90,malexis2h,0,0,0
91,wcluff2i,0,0,0
92,udubock2j,0,0,0
93,dgoracci2k,0,0,0
94,eearey2l,0,0,0
95,tquartermaine2m,0,0,0
96,lkabsch2n,0,0,0
97,gmacsharry2o,0,0,0
98,cdarkott2p,0,0,0
99,apetrecz2q,0,0,0
100,bgreser2r,0,0,0
